"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Tam L.T.; Vi L.G.; Tuan N.M.","Tam, Luong Thanh (60172027300); Vi, Luong Gia (60172301600); Tuan, Nguyen Manh (57223163143)","60172027300; 60172301600; 57223163143","Comparison of Methods for Handling Imbalanced Data in Customer Churn Prediction with Feature Selection Using SHAP and mRMR Frameworks","2025","Cybernetics and Information Technologies","25","3","","68","87","1","10.2478/cait-2025-0023","https://www.scopus.com/pages/publications/105021024977?origin=resultslist","Faculty of Business Information and Technology, University of Economic Ho Chi Minh City, Viet Nam","Tam L.T., Faculty of Business Information and Technology, University of Economic Ho Chi Minh City, Viet Nam; Vi L.G., Faculty of Business Information and Technology, University of Economic Ho Chi Minh City, Viet Nam; Tuan N.M., Faculty of Business Information and Technology, University of Economic Ho Chi Minh City, Viet Nam","This study compared methods for handling imbalanced data in predicting customer churn in banking and e-commerce, using datasets with features selected via SHAP and MRMR. Two approaches were evaluated: data-level (Oversampling, Undersampling, and Hybrid resampling) and algorithm-level. Oversampling excelled on small to medium datasets, while Undersampling improved Recall but reduced Precision, lowering overall performance. Ensemble models outperformed single models, with tree-based Decision Trees showing better learning on imbalanced data among single models. The study recommends ensemble models for churn prediction, proposing the SHAP framework to enhance their interpretability through global and local explanations. Two models, ROS-CatBoost and CW-XGBoost, achieved exceptional results, with metrics like Accuracy, Precision, Recall, F1-score, ROC AUC, and PR AUC all above 0.9, indicating strong predictive accuracy for both churn and retention. These findings highlight the effectiveness of ensemble models and interpretability tools in addressing imbalanced data challenges. © 2025 Luong Thanh Tam et al., published by Sciendo.","Customer churn; Explainable AI; Imbalanced data; Machine learning; Resampling","","Sciendo","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105021024977"
"Bhatnagar A.; Srivastava S.","Bhatnagar, Anurag (57215138982); Srivastava, Sumit (36062024400)","57215138982; 36062024400","Customer Churn Prediction: A Machine Learning Approach with Data Balancing for Telecom Industry","2025","International Journal of Computing","24","1","","9","18","2","10.47839/ijc.24.1.3873","https://www.scopus.com/pages/publications/105003199203?origin=resultslist","Department of Information Technology, Manipal University Jaipur, Rajasthan, India","Bhatnagar A., Department of Information Technology, Manipal University Jaipur, Rajasthan, India; Srivastava S., Department of Information Technology, Manipal University Jaipur, Rajasthan, India","Churn prediction is the process of identifying customers who stop using services. Churn is not only the problem in Telecom industry but also banking, insurance, gaming companies, and internet service providers are also facing this challenge. This study focuses on churn prediction in telecom industry to determine the best classification model and reduce the number of attributes in the dataset. Machine learning models like Random Forest, K-Nearest Neighbour, Decision Tree, Support Vector Machine, Logistic Regression, Bagging Classifier, Extreme Gradient Boosting, Stochastic Gradient Descent Classifier, Gaussian Naive Bayes were used. To handle imbalance data and for hyper parameter tuning, techniques like SMOTE, ENN, Under-Sampling, Over-Sampling and K-cross fold validation were used. Random Forest classifier performed exceptionally well in forecasting customer churn in the telecom sector, as evidenced by the results. Its accuracy rate was 90.30% with all attributes, and 90.90% with reduced attributes dataset. This implies that the dataset with reduced attributes may be useful for churn prediction tasks in a variety of industries, offering useful information to companies trying to reduce customer attrition. This work validates itself by comparing with four previously published research. © (2025), (Research Institute of Intelligent Computer Systems). All rights reserved.","Accuracy; Attributes; Churn, Classification models; Hyper parameter tuning; Imbalanced data; Validation","","Research Institute of Intelligent Computer Systems","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105003199203"
"Luong T.-T.; Luong V.-G.; Tran A.H.T.; Nguyen T.M.","Luong, Tam-Thanh (59738612100); Luong, Vi-Gia (59738693400); Tran, Anh Hoang Tuan (59738671200); Nguyen, Tuan Manh (59738612200)","59738612100; 59738693400; 59738671200; 59738612200","APPLICATION OF MACHINE LEARNING TECHNIQUES FOR CUSTOMER CHURN PREDICTION IN THE BANKING SECTOR","2025","Interdisciplinary Journal of Information, Knowledge, and Management","20","","9","","","2","10.28945/5469","https://www.scopus.com/pages/publications/105002705159?origin=resultslist","University of Economics Ho Chi Minh City, Ho Chi Minh City, Viet Nam","Luong T.-T., University of Economics Ho Chi Minh City, Ho Chi Minh City, Viet Nam; Luong V.-G., University of Economics Ho Chi Minh City, Ho Chi Minh City, Viet Nam; Tran A.H.T., University of Economics Ho Chi Minh City, Ho Chi Minh City, Viet Nam; Nguyen T.M., University of Economics Ho Chi Minh City, Ho Chi Minh City, Viet Nam","Aim/Purpose Previous studies have primarily focused on comparing predictive models without considering the impact of data preprocessing on model performance. Therefore, this study sets two main objectives. The first objective is to investigate the effect of resampling methods for handling imbalanced data on model effectiveness. The second objective is to compare and evaluate machine learning methods to identify the optimal model for each resampling technique, thereby determining the model that achieves the highest performance. Background In the highly competitive banking industry, attrition of customers is a major challenge for banks trying to improve customer retention. While many studies have focused on building and evaluating models to predict customer churn, they often miss addressing the problem of imbalanced data, which can significantly affect the model’s accuracy. Methodology In this study, following exploratory data analysis (EDA), we apply various techniques to address data imbalance and use a range of machine learning models, including Naïve Bayes, Logistic Regression, Support Vector Machine, Decision Tree, Random Forest, Gradient Boosting, XGBoost, and LightGBM, to predict customer churn using the dataset. Contribution The contribution of this research lies in its comprehensive evaluation and comparison of various techniques for handling imbalanced data in churn prediction models. The study identifies SMOTE-ENN as the most effective method for resampling imbalanced data. Among the models tested, LightGBM (accuracy = 0.979) achieves the highest performance based on evaluation metrics. Additionally, the research highlights that tree-based machine learning models generally perform better when trained on imbalanced datasets. © 2025 Informing Science Institute. All rights reserved.","banking industry; churn prediction; classification models; hybrid method; imbalanced data; machine learning; oversampling; undersampling","Adversarial machine learning; Contrastive Learning; Data accuracy; Decision trees; Sales; Support vector machines; Banking industry; Churn predictions; Classification models; Customer churns; Hybrid method; Imbalanced data; Machine learning models; Machine-learning; Over sampling; Under-sampling; Prediction models","Informing Science Institute","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105002705159"
"Moradi F.; Tarif M.; Homaei M.","Moradi, Fatemeh (60066205300); Tarif, Mehran (58081124600); Homaei, Mohammadhossein (58725495300)","60066205300; 58081124600; 58725495300","Uncertainty-Aware Deep Ensembles for Confident Customer Churn Prediction with Rejection Option","2025","2025 15th International Conference on Computer and Knowledge Engineering, ICCKE 2025","","","","","","0","10.1109/ICCKE68588.2025.11273854","https://www.scopus.com/pages/publications/105030479023?origin=resultslist","Islamic Azad University, Faculty of Engineering Isfahan (Khorasgan) Branch, Isfahan, Iran; University of Verona, Department of Computer Science, Verona, Italy; University of Extremadura, Media Engineering Group, Cáceres, Spain","Moradi F., Islamic Azad University, Faculty of Engineering Isfahan (Khorasgan) Branch, Isfahan, Iran; Tarif M., University of Verona, Department of Computer Science, Verona, Italy; Homaei M., University of Extremadura, Media Engineering Group, Cáceres, Spain","Customer churn prediction is an important problem in business intelligence, especially in industries where keeping customers is both difficult and expensive. Many existing models can predict churn accurately but do not show how confident they are in their results, which can cause costly or incorrect decisions. To solve this issue, this paper introduces an Uncertainty-Aware Ensemble (UA-Ensemble) framework that predicts churn while also estimating confidence levels. The model combines five neural network types, including attention-based LSTMs, Bayesian networks, and Monte Carlo Dropout, to measure both aleatoric and epistemic uncertainty. A cost-aware rejection rule is used to avoid unreliable predictions. Experiments on large banking, e-commerce, and telecom datasets reached 94.2% accuracy and reduced intervention costs by 18.3% compared to baseline models. The proposed approach outperforms traditional machine learning and deep learning methods, proving effective and trustworthy for business decision-making across various industries.  © 2025 IEEE.","Bayesian neural networks; Customer churn prediction; deep ensembles; Monte Carlo dropout; rejection option; uncertainty quantification","Bayesian networks; Decision making; Deep neural networks; Electronic commerce; Forecasting; Information systems; Intelligent systems; Learning systems; Bayesian neural networks; Business-intelligence; Confidence levels; Customer churn prediction; Deep ensemble; Monte carlo dropout; Neural-networks; Rejection option; Uncertainty; Uncertainty quantifications; Sales","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105030479023"
"Ulug B.; Akyüz S.","Ulug, Baha (59692661900); Akyüz, Süreyya (24766886300)","59692661900; 24766886300","Optimized churn prediction using ensemble-based feature selection via second-order cone programming","2025","Annals of Operations Research","353","2","","635","665","5","10.1007/s10479-025-06543-6","https://www.scopus.com/pages/publications/105000063419?origin=resultslist","Department of Industrial Engineering, Graduate School of Engineering, Bahcesehir University, Istanbul, Besiktas, 34330, Turkey; Department of Mathematics, Faculty of Engineering and Natural Sciences, Bahcesehir University, Istanbul, Besiktas, 34330, Turkey","Ulug B., Department of Industrial Engineering, Graduate School of Engineering, Bahcesehir University, Istanbul, Besiktas, 34330, Turkey; Akyüz S., Department of Mathematics, Faculty of Engineering and Natural Sciences, Bahcesehir University, Istanbul, Besiktas, 34330, Turkey","This paper investigates the diverse applications of ensemble-based artificial intelligence algorithms in analyzing customer churn within the banking industry. Additionally, it conducts a comprehensive comparison, rigorously contrasting well-established conventional methods with the relatively less-familiar second-order cone programming (SOCP) ensemble-based feature selection method. Conducting a comprehensive analysis, the study explores large-scale feature engineering using demographic, financial and transactional data. This approach not only enhances the complexity and real-world adaptability of churn analysis methodologies but also makes a significant contribution to business analytics in the banking sector. The research stands as a rare example in the literature, utilizing bank customer data within the interest-free financial system, thereby advancing our understanding of customer relationship management in both the operations research and financial sectors. Banks can use these methods to enhance their customer retention strategies, which may result in lower churn rates and higher customer lifetime value. By minimizing customer churn, banks can improve their financial stability and profitability, potentially leading to more consistent lending practices and lower interest rates for customers. © The Author(s) 2025.","Banking; Customer churn; Ensemble learning; Machine learning","","Springer","Article","Final","","Scopus","2-s2.0-105000063419"
"Suyam Praba R.; Suganthi P.; Harrish Samraj J.; Arthi V.K.; Bhuvaneswari M.","Suyam Praba, R. (59406976800); Suganthi, P. (58915202600); Harrish Samraj, J. (60602686100); Arthi, V.K. (59385753100); Bhuvaneswari, M. (60195806800)","59406976800; 58915202600; 60602686100; 59385753100; 60195806800","AI-Powered Customer Churn Prediction in Banking with R-based Gradient Boosting Models and Power BI Dashboards","2025","2025 IEEE 1st International Conference on Innovations in Engineering and Next-Generation Technologies for Sustainability, ICINVENTS 2025","","","","","","0","10.1109/ICINVENTS64613.2025.11401392","https://www.scopus.com/pages/publications/105036988093?origin=resultslist","School of Management Studies, Karpagam College of Engineering, Coimbatore, India; School of Management, Sri Krishna College of Engineering and Technology, Coimbatore, India; Department of Management Studies, Sri Ramakrishna Engineering College, Coimbatore, India; Department of Management Sciences, Hindusthan College of Engineering and Technology, Coimbatore, India","Suyam Praba R., School of Management Studies, Karpagam College of Engineering, Coimbatore, India; Suganthi P., School of Management, Sri Krishna College of Engineering and Technology, Coimbatore, India; Harrish Samraj J., School of Management, Sri Krishna College of Engineering and Technology, Coimbatore, India; Arthi V.K., Department of Management Studies, Sri Ramakrishna Engineering College, Coimbatore, India; Bhuvaneswari M., Department of Management Sciences, Hindusthan College of Engineering and Technology, Coimbatore, India","In the 21st century, Customer churn is a significant challenge in the banking sector, directly impacting revenue, operational efficiency, and long-term customer relationships. With increasing digital banking adoption and competition from fintech firms, banks must transition from reactive to proactive customer retention strategies. This study leverages machine learning techniques, specifically gradient boosting models such as XGBoost and LightGBM, to predict customer churn based on key demographic, behavioral, and financial attributes. The dataset undergoes rigorous preprocessing and feature engineering in R to ensure data quality, eliminate inconsistencies, and optimize feature selection. Additionally, Power BI is integrated to create interactive dashboards that provide dynamic and actionable insights for financial institutions. The LightGBM model achieved an accuracy of 90.04%, precision of 86.2%, recall of 61.1%, and F1-score of 71.4%, outperforming the XGBoost model (accuracy 89%). By implementing predictive analytics, banks can transition from reactive to proactive churn management, optimizing customer retention strategies and enhancing business sustainability. This research highlights how machine learning-powered predictive modeling can provide a data-driven framework for improving banking sector customer loyalty and mitigating churn risks. The seamless integration of R-driven predictive analytics and Power BI visualization enables banking institutions to convert analytical findings into data-driven strategies, bridging the gap between quantitative modeling and executive decision-making [1]. © 2025 IEEE.","Banking Sector; Customer Churn Prediction; Customer Retention; Gradient Boosting Models; Machine Learning; Power BI; XGBoost","Adaptive boosting; Banking; Competition; Customer satisfaction; Data mining; FinTech; Information use; Machine learning; Predictive analytics; Public relations; Sales; Visual analytics; Banking sectors; Customer churn prediction; Customer churns; Customer retention; Gradient boosting; Gradient boosting model; Machine-learning; Power; Power BI; Xgboost; Learning systems","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105036988093"
"Uyyala P.R.; Kallur K.; Aijaz M.","Uyyala, Prabhakar R. (60598165300); Kallur, Keshava (60110419900); Aijaz, Mohammad (57228045700)","60598165300; 60110419900; 57228045700","AI based Banking Enterprise Solution using Related AI-Agent, Prediction of Customer with Fraud and Churn","2025","Proceedings of the 4th International Conference on Intelligent Computing, Information and Control Systems, ICOIICS 2025","","","","1666","1669","0","10.1109/ICOIICS67115.2025.11390136","https://www.scopus.com/pages/publications/105036683419?origin=resultslist","IBM, TX, United States; Truist bank, GA, United States; Kodada Institute of Technology and Science for Women, Telangana, Kodad, India","Uyyala P.R., IBM, TX, United States; Kallur K., Truist bank, GA, United States; Aijaz M., Kodada Institute of Technology and Science for Women, Telangana, Kodad, India","Artificial intelligence is reducing manual work significantly. Artificial intelligence can be used in different fields, but in our application, artificial intelligence is used for banking Agentic applications as well as customer fraud and churn prediction. Natural language processing (NLP) and machine learning classifiers are used for AI-Agent based applications with higher accuracy compared with state-of-the-art techniques. Proposed application even used for financial risk prediction using different machine learning algorithms. To understand the customer behavior based on customer input data and finding customer churn is also included as additional. The proposed method uses different machine learning and deep learning algorithms for the proposed AI-based application. Performance analysis of different machine learning and deep learning algorithms is calculated using different metrics such as accuracy, precision, recall, and F-score. From multiple algorithms, the algorithm that has higher accuracy is considered for further prediction in the specific application. In the banking enterprise solution, these types of artificial intelligence-based applications are used as advancements and to retain the customers. © 2025 IEEE.","Banking Churn; Enterprise Solutions; Financial AI-Agent Application; Financial Fraud Detection; Machine Learning; Natural Language Processing (NLP)","Autonomous agents; Banking; Deep learning; Intelligent agents; Learning algorithms; Learning systems; Natural language processing systems; Sales; Banking churn; Churn predictions; Enterprise solution; Financial AI-agent application; Financial fraud detections; High-accuracy; Language processing; Machine-learning; Natural language processing; Natural languages; Forecasting","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105036683419"
"Agarwal P.; Gupta A.; Chakraborty M.","Agarwal, Pratiksha (59173926200); Gupta, Arun (59173629400); Chakraborty, Mohuya (9735607300)","59173926200; 59173629400; 9735607300","Ai-Driven Customer Retention","2025","Lecture Notes in Networks and Systems","1148","","","427","447","1","10.1007/978-981-97-8457-8_27","https://www.scopus.com/pages/publications/85219164917?origin=resultslist","SAP America, Palo Alto, CA, United States; Confiance Tech Solutions, Los Angeles, CA, United States; Cybersecurity Centre of Excellence, Institute of Engineering and Management, University of Engineering and Management, Kolkata, India","Agarwal P., SAP America, Palo Alto, CA, United States; Gupta A., Confiance Tech Solutions, Los Angeles, CA, United States; Chakraborty M., Cybersecurity Centre of Excellence, Institute of Engineering and Management, University of Engineering and Management, Kolkata, India","Artificial intelligence (AI) has had a significant impact on a wide range of industries, including robots, e-commerce, healthcare, and banking. The wealth of personal data has made it possible to convert human civilization's knowledge into digital form, which in turn has made it possible to use machine learning to create new knowledge and behaviors. AI has demonstrated significant promise for creating customer relationship management (CRM)/Enterprise Resource Planning (ERP) system retention strategies. AI is capable of analyzing consumer data to forecast habits, preferences, and churn risks through the use of sophisticated algorithms and machine learning. By anticipating client wants, personalizing interactions, and providing incentives that are specifically tailored, organizations can cultivate long-term consumer loyalty. AI can also enable real-time adaptation in CRM/ERP systems, improving customer satisfaction and increasing retention rates. This paper presents a Systematic Literature Review using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses model for AI-based customer churn prediction in several industries and proposes a predictive analysis model of churn using a hybrid ensemble supervised machine learning algorithm for an online subscription service. The results are quite satisfactory with accuracy of 82%, precision of 78%, recall of 82%, specificity of 82%, and F1 score of 75%. The paper further discusses AI-driven customer retention policies’ opportunities, issues, and challenges. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.","Artificial intelligence; Customer churn; Customer experience; Customer personalization; Customer relationship management; Customer retention; Customer service automation; Enterprise resource planning; Hybrid ensemble; Predictive analytics; Supervised machine learning","Adversarial machine learning; Customer satisfaction; Data privacy; Enterprise resource management; Enterprise resource planning; Network security; Resource allocation; Risk analysis; Risk assessment; Sales; Self-supervised learning; Semi-supervised learning; Customer churns; Customer experience; Customer personalization; Customer relationship management; Customer retention; Customer service automation; Customer-service; Enterprise resources planning; Hybrid ensemble; Personalizations; Supervised machine learning; Predictive analytics","Springer Science and Business Media Deutschland GmbH","Conference paper","Final","","Scopus","2-s2.0-85219164917"
"Vijayashankar U.; Dhakshana J.D.A.; Nachathiram K.D.T.; Edward; Hariharan C.","Vijayashankar, U. (59412018400); Dhakshana, J. D. Aarthi (59412331100); Nachathiram, K. Domnic Thavagnana (59412331200); Edward (59412126700); Hariharan, C. (57211323224)","59412018400; 59412331100; 59412331200; 59412126700; 57211323224","Development of retail banking through digital transformation using blockchain technology","2025","Computational Methods in Science and Technology - Proceedings of the 4th International Conference on Computational Methods in Science and Technology, ICCMST 2024","2","","","43","49","0","10.1201/9781003561651-7","https://www.scopus.com/pages/publications/85209193032?origin=resultslist","Dhanalakshmi Srinivasan University, Trichy, India; Periyar Maniammai Institute of Science and Technology (Deemed to be University), Thanjavur, India; SRM University, Trichy, India","Vijayashankar U., Dhanalakshmi Srinivasan University, Trichy, India; Dhakshana J.D.A., Dhanalakshmi Srinivasan University, Trichy, India; Nachathiram K.D.T., Periyar Maniammai Institute of Science and Technology (Deemed to be University), Thanjavur, India; Edward, Periyar Maniammai Institute of Science and Technology (Deemed to be University), Thanjavur, India; Hariharan C., SRM University, Trichy, India","The research explores the potential of digital transformation in retail banking, integrating blockchain, smart contracts, and machine learning models. The focus is on improving speed, safety, and transparency in banking operations, particularly in risk assessment, fraud detection, and customer satisfaction. The methodology includes the construction of a blockchain for secure transactions, and the creation of smart contracts for automated loan approval. Machine learning models like Artificial Neural Network, Support Vector Machines LSTM, and RF are used for fraud detection and customer churn prediction. The results show high accuracy, precision, and scalability. The blockchain achieved transaction speeds of 500 transactions per second, and the smart contract achieved 95% accuracy for loan approval processes. This research aims to advance the retail banking system by developing technology that speeds up operations, prevents risks, and enhances customer satisfaction. © 2025 the Author(s).","Blockchain; Digital Transformation; Machine Learning; Retail Banking; Smart Contracts","Blockchain; Customer satisfaction; Sales; Banking operations; Block-chain; Customers' satisfaction; Digital transformation; Fraud detection; Machine learning models; Machine-learning; Retail banking; Risks assessments; Secure transactions; Smart contract","CRC Press/Balkema","Conference paper","Final","","Scopus","2-s2.0-85209193032"
"Thiru Moorthy P.; Manju Bashini S.; Suchitra S.","Thiru Moorthy, P. (60661689700); Manju Bashini, S. (60559816000); Suchitra, S. (57209099260)","60661689700; 60559816000; 57209099260","Predictive Modeling Of Customer Attrition In The Banking Sector","2026","IEEE International Conference on Electronic Systems and Intelligent Computing, ICESIC 2026 - Proceedings","","","","450","455","0","10.1109/ICESIC67389.2026.11496353","https://www.scopus.com/pages/publications/105040794953?origin=resultslist","Erode Sengunthar Engineering College, Department of Computer Science and Engineering, Tamil Nadu, Erode, India","Thiru Moorthy P., Erode Sengunthar Engineering College, Department of Computer Science and Engineering, Tamil Nadu, Erode, India; Manju Bashini S., Erode Sengunthar Engineering College, Department of Computer Science and Engineering, Tamil Nadu, Erode, India; Suchitra S., Erode Sengunthar Engineering College, Department of Computer Science and Engineering, Tamil Nadu, Erode, India","Predicting customer churn is very vital for the banking industry, as retaining existing customers is less expensive than acquiring new ones. The objective of this paper is to design an end-to-end (E2E) customer churn prediction framework based on a hybrid deep learning method and Interactive Web Application. The system consists of a Temporal Convolutional Network (TCN) to capture temporal behaviour patterns, and a Graph Neural Network (GNN) for relational modelling of customers. The generation of temporal sequences and construction of a customer relationship graph based on demographic, behavioural, and feedback-based features will enhance the prediction performance of the system. The system will be implemented using Streamlit, which will allow for single and batch predictions, real-time visualisation of results, and the ability to download reports. The experimental results revealed that the hybrid model developed using this approach provides very high accuracy for predicting customer churn using the developed dataset and can successfully identify high-risk customers. Therefore, this system provides a scalable approach that supports proactive strategies in relation to customer retention within the banking sector. © 2026 IEEE.","Banking Analytics; Customer Behavior Analysis; Customer Churn Prediction; Graph Neural Networks; Machine Learning; Predictive Modeling; Streamlit Deployment; Temporal Data Analysis","Banking; Customer satisfaction; Deep learning; Neural networks; Prediction models; Predictive analytics; Public relations; Sales; Banking analytic; Banking sectors; Customer behavior analysis; Customer churn prediction; Graph neural networks; Machine-learning; Predictive models; Streamlit deployment; Temporal Data; Temporal data analyze; Learning systems","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105040794953"
"Liang Z.; Wang M.; Huang H.; Liang A.; Cheng L.; Zhao Y.","Liang, Zejian (59729842000); Wang, Mengyuan (59729999200); Huang, Hong (58577201500); Liang, Aiming (59730308400); Cheng, Luning (59729689100); Zhao, Yunxiang (36471242300)","59729842000; 59729999200; 58577201500; 59730308400; 59729689100; 36471242300","A Study on Customer Churn Prediction in the Banking Sector Using Stacking Model","2025","Proceedings of the 5th International Conference on Artificial Intelligence and Computer Engineering, ICAICE 2024","","","","670","675","2","10.1145/3716895.3717014","https://www.scopus.com/pages/publications/105002250446?origin=resultslist","School of Science, Civil Aviation Flight University of China, Sichuan, Chengdu, China; Civil Aviation Flight University of China, Guanghan College, Sichuan, Guanghan, China; Civil Aviation Flight University of China, Mianyang College, Sichuan, Mianyang, China; Civil Aviation Flight University of China, Suining College, Sichuan, Suining, China","Liang Z., School of Science, Civil Aviation Flight University of China, Sichuan, Chengdu, China; Wang M., School of Science, Civil Aviation Flight University of China, Sichuan, Chengdu, China; Huang H., Civil Aviation Flight University of China, Guanghan College, Sichuan, Guanghan, China; Liang A., Civil Aviation Flight University of China, Mianyang College, Sichuan, Mianyang, China; Cheng L., Civil Aviation Flight University of China, Suining College, Sichuan, Suining, China; Zhao Y., School of Science, Civil Aviation Flight University of China, Sichuan, Chengdu, China","In today's highly competitive market environment, customer churn has become a significant threat to the profitability of businesses, especially in industries such as banking, insurance, and telecommunications. Existing research widely employs machine learning models for customer churn prediction; however, single models often face limitations in handling complex nonlinear data and addressing class imbalance issues. To address these challenges, this study proposes a customer churn prediction model based on stacking ensemble learning. We employ neural networks, random forests, and logistic regression as base models, with logistic regression serving as the meta-model, to predict churn using a banking dataset. Experimental results demonstrate that the stacking model outperforms individual models, achieving an accuracy of 87.1% and an F1-score of 0.60. Notably, the stacking model achieves a recall rate of 50% for identifying churn customers. This study highlights that ensemble learning methods can effectively improve the accuracy of customer churn prediction and offer strong generalization capabilities, providing new insights for related industries. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.","customer churn prediction; ensemble learning; machine learning; stacking model","Adversarial machine learning; Banking; Competition; Contrastive Learning; Decision trees; Logistic regression; Profitability; Sales; Banking sectors; Competitive markets; Customer churn prediction; Customer churns; Ensemble learning; Logistics regressions; Machine learning models; Machine-learning; Market environment; Stacking models; Prediction models","Association for Computing Machinery, Inc","Conference paper","Final","","Scopus","2-s2.0-105002250446"
"Jacob J.; Thomson Fredrik E.J.","Jacob, Joby (60127332400); Thomson Fredrik, E.J. (57191965189)","60127332400; 57191965189","PREDICTIVE ANALYTICS FOR CUSTOMER CHURN IN BANKING: A MACHINE LEARNING APPROACH TO RETENTION","2025","International Journal of Applied Mathematics","38","4S","","85","102","1","10.12732/ijam.v38i4s.217","https://www.scopus.com/pages/publications/105017897452?origin=resultslist","Karpagam Academy of Higher Education (Deemed to be University), Coimbatore, India","Jacob J., Karpagam Academy of Higher Education (Deemed to be University), Coimbatore, India; Thomson Fredrik E.J., Karpagam Academy of Higher Education (Deemed to be University), Coimbatore, India","Using cutting-edge AI methods focused on machine learning models like Random Forest, XGBoost, and Logistic Regression, this study investigates the prediction of customer attrition in the banking industry. The highest accuracy of 81.07% is achieved from Logistic Regression. XGBoost achieves 80.31% with similar results. The result of feature importances analysis shows that TotalCharges, MonthlyCharges and Contract have the highest influence on churn. Further clustering breaks customers down into an actionable group for targeted retention strategy. The results indicate that predictive analytics can be used to reduce churn, boost customer satisfaction, and improve the performance of the business, thus requiring data-based customer retention strategies in banking. © 2025, Diogenes Co. Ltd.. All rights reserved.","AI Technologies; Banking Sector; Churn Drivers; Contract Type; Customer Churn Prediction; Customer Retention; Data Analysis; Decision Tree; Feature Importance; K-Means Clustering; Logistic Regression; Machine Learning; Model Evaluation; MonthlyCharges; Predictive Analytics; Random Forest; TotalCharges; XGBoost","","Diogenes Co. Ltd.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105017897452"
"Kumari M.A.P.; Saheb S.S.","Kumari, M Aruna Prasanna (60580525800); Saheb, Shaiku Shahida (58575382800)","60580525800; 58575382800","Prediction of Customer Churn in Financial Sectors using Machine Learning Algorithms","2025","2025 5th International Conference on Artificial Intelligence and Signal Processing, AISP 2025","","","","","","0","10.1109/AISP68263.2025.11396112","https://www.scopus.com/pages/publications/105035729233?origin=resultslist","VIT-AP University, Vit Ap School of Business, Amaravati, 522241, India","Kumari M.A.P., VIT-AP University, Vit Ap School of Business, Amaravati, 522241, India; Saheb S.S., VIT-AP University, Vit Ap School of Business, Amaravati, 522241, India","Machine Learning algorithms became effective models for estimating customers' financial performances, notably in the area of customer churn patterns for financial institutions, especially in the banking industry. To comprehend how customers have churning from their financial institutions, it is also important to explore the pragmatic driving forces of customer relationship management. In a competing environment, commercial banks are undertaking empirical evidence-based analysis of their customers' churn behavior, with a view to increasing retention and the profitability function. The present study suggests that the potential for using ML models such as Logistic Regression (LR), Support Vector Machine (SVM), k-Nearest Neighbors (KNN), and Random Forest, as well as Neural Networks, would significantly add to the predictive modelling capacity in the financial sector. Moreover, these models would likewise predict churn based on profitability with respect to delinquent collections and customer engagement. In addition, it will remain important to maintain customer data privacy while conversely developing ML models as predictive models that will, to the best of their abilities, be trustworthy. The use of ML algorithms has been proven to understand customer churn can provide effective and efficient improvements to customer satisfaction levels and subsequent customer loyalty that aiming to retain customers in the marketplace.  © 2025 IEEE.","Customer Churn; Financial Inclusion; Financial Sector; Machine Learning; Regression","Banking; Customer satisfaction; Data mining; Logistic regression; Nearest neighbor search; Neural networks; Profitability; Public relations; Random forests; Sales; Support vector regression; Banking industry; Customer churns; Financial inclusions; Financial institution; Financial performance; Financial sectors; Machine learning algorithms; Machine-learning; Predictive models; Regression; Learning systems","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105035729233"
